Date,High temp,Low temp,Precip,Weather Condition,City
12/3,16°,/9°,"

		25%
	",A thick cloud cover,Tanger
12/4,16°,/12°,"

		40%
	",Cloudy with a thunderstorm in the area,Tanger
12/5,17°,/10°,"

		40%
	","A thunderstorm in spots in the morning; otherwise, windy with times of clouds and sun",Tanger
12/6,16°,/9°,"

		40%
	","A thunderstorm in spots in the morning; otherwise, partly sunny",Tanger
12/7,16°,/9°,"

		5%
	",Plenty of sunshine,Tanger
12/8,16°,/10°,"

		5%
	",Plenty of sunshine,Tanger
12/9,16°,/9°,"

		25%
	",Clouds and sun,Tanger
12/10,16°,/11°,"

		40%
	",Cloudy and windy with a thunderstorm in the area,Tanger
12/11,16°,/9°,"

		40%
	",Considerable clouds with a thunderstorm in the area,Tanger
12/12,15°,/10°,"

		40%
	",Periods of clouds and sunshine with a thunderstorm in spots in the afternoon,Tanger
12/13,18°,/10°,"

		4%
	",Sunshine and a few clouds,Tanger
12/14,16°,/11°,"

		39%
	",Mostly cloudy with a thunderstorm in spots,Tanger
10/31,22°,/15°,"

		71%
	",Rather cloudy with occasional rain and drizzle this afternoon,Tetouan
11/1,22°,/15°,"

		14%
	",Nice with intervals of clouds and sunshine,Tetouan
11/2,21°,/18°,"

		45%
	",Intervals of clouds and sunshine with a shower in places in the afternoon,Tetouan
11/3,21°,/16°,"

		68%
	",A thick cloud cover with a couple of showers in the afternoon,Tetouan
11/4,22°,/16°,"

		1%
	",Partly sunny and nice,Tetouan
11/5,22°,/16°,"

		1%
	",Partly sunny and nice,Tetouan
11/6,22°,/17°,"

		57%
	",Times of clouds and sun with a passing shower or two,Tetouan
11/7,21°,/18°,"

		75%
	","Cloudy in the morning, then intervals of clouds and sunshine in the afternoon with a couple of showers",Tetouan
11/8,22°,/19°,"

		49%
	",Periods of sun with a shower in the area,Tetouan
11/9,22°,/18°,"

		0%
	",Clouds followed by a brightening sky,Tetouan
11/10,21°,/17°,"

		55%
	",Mostly cloudy with a bit of rain in the afternoon,Tetouan
11/11,21°,/15°,"

		0%
	",Mostly sunny,Tetouan
11/12,22°,/15°,"

		0%
	",Abundant sunshine,Tetouan
11/13,19°,/11°,"

		25%
	",Clouds and intervals of sunshine,Tetouan
11/14,18°,/11°,"

		20%
	",Mostly sunny,Tetouan
11/15,18°,/11°,"

		5%
	",Plenty of sunshine,Tetouan
11/16,19°,/11°,"

		10%
	",Mostly sunny,Tetouan
11/17,19°,/12°,"

		59%
	",Times of clouds and sun with a passing shower in the afternoon,Tetouan
11/18,18°,/11°,"

		59%
	","A passing shower in the morning; otherwise, clouds and sunshine",Tetouan
11/19,18°,/13°,"

		40%
	",Mostly cloudy with a thundershower in spots,Tetouan
11/20,18°,/13°,"

		25%
	",Clouds giving way to some sun,Tetouan
11/21,19°,/13°,"

		25%
	",Partly sunny,Tetouan
11/22,18°,/10°,"

		60%
	","A shower in the morning; otherwise, periods of clouds and sunshine",Tetouan
11/23,17°,/10°,"

		25%
	",Cloudy most of the time,Tetouan
11/24,17°,/12°,"

		5%
	",Abundant sunshine,Tetouan
11/25,18°,/13°,"

		60%
	",Periods of rain,Tetouan
11/26,17°,/12°,"

		65%
	",Cloudy with showers and thunderstorms,Tetouan
11/27,17°,/11°,"

		60%
	","A little rain in the morning; otherwise, cloudy",Tetouan
11/28,17°,/12°,"

		25%
	",Cloudy,Tetouan
11/29,18°,/13°,"

		70%
	","Cloudy; a couple of showers in the morning, then afternoon showers and thunderstorms",Tetouan
11/30,17°,/13°,"

		65%
	",Cloudy with showers and thunderstorms,Tetouan
12/1,17°,/12°,"

		57%
	",Cloudy with a couple of showers and a thunderstorm,Tetouan
12/2,16°,/9°,"

		59%
	",Rain at times,Tetouan
12/3,16°,/9°,"

		25%
	",A thick cloud cover,Tetouan
12/4,16°,/12°,"

		60%
	",Periods of rain,Tetouan
12/5,17°,/10°,"

		75%
	",Rain ending in the morning; remaining cloudy,Tetouan
12/6,16°,/9°,"

		65%
	","A couple of morning showers and a thunderstorm; otherwise, variable cloudiness",Tetouan
12/7,15°,/8°,"

		5%
	",Sunshine,Tetouan
12/8,15°,/9°,"

		20%
	",Plenty of sunshine,Tetouan
12/9,16°,/9°,"

		25%
	",Clouds and sun,Tetouan
12/10,15°,/10°,"

		59%
	",Periods of rain,Tetouan
12/11,15°,/9°,"

		63%
	","A couple of morning showers and a thunderstorm; otherwise, cloudy",Tetouan
12/12,15°,/10°,"

		65%
	","A couple of morning showers and a thunderstorm; otherwise, intervals of clouds and sunshine",Tetouan
12/13,18°,/10°,"

		4%
	",Sunshine and a few clouds,Tetouan
12/14,16°,/12°,"

		65%
	",Mostly cloudy with showers and thunderstorms,Tetouan
